S.No,Category,Module / Feature,Description,Key Functionality,Business Value / Flow Phase
1,Product Overview,HCM Vayona (VAYONA ENERGY),HR Compliance Management platform for Indian statutory and regulatory compliance,End-to-end compliance lifecycle management,Core product — manages full compliance from setup to audit
2,Product Overview,Target Users,Compliance teams HR administrators site in-charges auditors management,Role-based access for different user types,Serves multi-stakeholder compliance operations
3,Product Overview,Deployment,Cloud web application on Zoho Catalyst,React frontend + 50+ serverless backend functions,Scalable cloud-native architecture
4,Technology,Frontend Stack,React 19 React Router Lucide icons ExcelJS XLSX JSZip jsPDF,Modern responsive UI with Excel/PDF export,User-friendly interface with document generation
5,Technology,Backend Stack,Zoho Catalyst serverless functions Datastore Filestore,REST APIs for all modules,Secure cloud data and file storage
6,Technology,Authentication,Zoho Catalyst Web SDK,Secure login and session management,Enterprise-grade user authentication
7,Technology,HR Integration,Zoho People API integration,People Attendance Leave Payroll CLRA data fetch,Reduces manual data entry via autofill
8,Dashboard,Main Dashboard,KPI overview for compliance operations,Active companies sites pending approvals approved returned counts,Management visibility at a glance
9,Dashboard,HCM Dashboard,Unified shell for organization transactions and HR data,Integrated navigation for all HCM modules,Single workspace for daily operations
10,Dashboard,Calendar View,Month-wise compliance deadline calendar,Upcoming due dates and monthly basis date derivation,Never miss compliance deadlines
11,Organization Master,Company Details,Multi-company profile management,Store legal entity address contact information,Foundation for multi-entity compliance
12,Organization Master,Site Management,Multi-site location management per company,State city industry Factory/CLRA/S&E registration numbers site in-charge assignment,Site-wise compliance scope and access control
13,Organization Master,Certificate Management,Compliance certificate tracking,Upload track expiry and renewal of certificates,Certificate compliance monitoring
14,Organization Master,Employee Data,Employee master data management,Employee records linked to statutory form autofill,Supports employee-centric statutory registers
15,Library,Applicable Acts Library,Browse acts by state sector and category,Act descriptions with compliance requirements,Central repository of applicable labour laws
16,Library,Acts Bulk,Bulk import of acts master data,Excel-based mass upload and update of acts,Efficient master data onboarding
17,Library,Regulations,Regulation master and bulk import,State-wise and act-wise regulation mapping,Detailed rule-level compliance reference
18,Library,Quiz Creation,Compliance awareness quiz module,Create training quizzes for staff awareness,Employee compliance training support
19,Library,Rule Book Masters,Client Details Scoring Criteria Record Category States Unique ID,Supporting master data for audit and compliance scoring,Audit framework configuration
20,Calendar,Calendar Picker,Visual calendar for compliance due dates,Month-wise deadline view and navigation,Operational deadline planning
21,Calendar,Calendar Master (Bulk),Bulk upload of compliance calendar events,Excel import of due dates across acts and forms,Mass calendar setup
22,Calendar,Calendar PDF Master,Generate printable compliance calendars,PDF export for planning and distribution,Offline compliance schedule sharing
23,Transaction,Checklist,Operational compliance checklist,Track form submission proof upload approval status marks,Day-to-day compliance task tracking
24,Transaction,Checklist Master,Master template for all compliance obligations,Configure Form Name Act State Sector Due Date Description Govt Department,Source of truth for compliance requirements
25,Transaction,Checklist Bulk Import,Excel bulk import of checklist items,Drag-drop Excel upload with sector state act form details,Fast onboarding of compliance obligations
26,Transaction,Link Form Files,Sync Excel templates from Form Master to Checklist,Automated template linking via syncFormFiles action,Connects forms to their Excel templates
